Id,Tweet,State,Sentiment_Analysis_1,Polarity
1,Guwahati has gained a lot of prominence in recent years due to PM Shri @narendramodi ji's #ActEast Policy.,Guwahati,0.4588,0.375
2,Words don't exist in Vaccum! Modi's post Pulwama words,New Delhi,-0.5719,0
3,On this Women's Day let's look back and see how the Modi Government has celebrated 'Naari Shakti' in the last 5 years,Maharashtra,0.5719,0.276
4,Odisha is blessed with so many rivers but still we struggle for clean water in our households due to BJD misgovernance.  It's our guarantee that when Congress forms govt. in Odisha every household will get clean water.,Odisha,0.4404,0.116
5,This Vote is for @mepratap and @narendramodi  all the way from Bangalore to Coorg. #EveryVoteForModi,Banglore,0,0
6,"PM @narendramodi in the presence of @CMOTamilNadu, Deputy CM O. Panneerselvam, Sri S. Ramadoss of PMK &amp; @BJP4TamilNadu Leaders addressed a huge gathering of AIADMK  PMK &amp; BJP Karyakartas as well as Supporters at Kancheepuram.",Chikkamagaluru,0,0
7,And no case is bigger than former CJI Rangnath Misra who was rewarded by Congress after he exonerated Pappu's papa in '84 pogrom,Mumbai,-0.296,0
8,Tune in to watch BJP National President Shri @AmitShah's interview repeat telecast.,Gujrat,0,0
9,I strongly condemn Modiji for making unethical behaviour ....unfounded Statement about our former prime minister Sri Rajivgandhi who was taken India to 21 st century with his modern vision..unlike Modiji ‘s idiotical decisions like demolition and flawful GST.Modi not fit for PM,Pondicherry,-0.25,0
10,@BJP4India Upp 41520 ki election se pehle medical karwa do sir Nahi to student ka power aap bhi dekhenge.I am big supporter of BJP lekin ab to BJP ko vote nahi jayega.#JoiningNahiToVoteNahi,Saharanpur,-0.4019,0
11,#GoBackModi is fake one..this is d real letter..bt see how pappu marketing wrongly typed letter with d help of journalism..welcome modi..Bharath matha ki jai..,Chennai,0.3182,0.099
12,Do opposition really believe that questioning/criticizing NaMo and Defence forces on their action against Terrorist and Terroristan will bring any political gain to them??,Gorkhaland,0,0.085
13,#CongressMuktBharat Our beloved PM Sri. @narendramodi ji is pride of nation and you corrupt dynast and fake Gandhi #Rahul_Ghandy don't deserve to be on stage with with a saint PM.#ModiUnstoppable#ModiHaiToMumkinHai,Noida,0.2023,0.087
14,Electoral bonds are absolutely illegal they give undue advantage to Modi which is against the principle of free and fair elections level playing field to all political parties.,Hyderabad,0.4019,0.286
15,Some glimpses from @narendramodi ji rally at Chandigarh #ModiInChandigarh #HarGharModi,Chandigarh,0,0
1,dascomrad sir comment modi grand entri,Guwahati,0.3818,0.198
4,congress made vemula nation talk point even though doubt case amp vemula dalit itself stop bjp make ramalingam case attain nation scale amp chang dalit discours take one remark pm modi make happen,Mumbai,0,0
3,bjp win battl past month bengal pm modi arriv win biggest battl announc warcri upcom war tmc elect modisonarbangla,Kolkata,-0.4767,0
6,inclusivemind ark bjpindia rahul gandhi bjp think cellchatumediacroniesscrit writer andbhakt crore speach give victori then late atal bihari vajpeyi much better shine india,Aligarh,-0.5423,0
7,senior congress leader manishtewari jpc definit next parliament parallel crimin investig process go go away rafal rafalenot,New Delhi,0,0
3,bc congress take kickback fr pp,,-0.128,0.145
8,rahulliecaught exclus former defenc secretari g mohan kumar tear rahul gandhi lie say no pmo interfer rafal price,Mumbai,0,0
4,expect meltdown congress elect wait till februari end bahut saar possibl hain ji,,0.3612,0.2
9,stori realli expos develop propaganda nation congress cudnt yrs modi sirji ask month abl hear terrifi stori jharkhand govt cudnt even solv basic issu last yrs,,0.7003,0.311
1,issu problem parrikar say defenc secretari resolv problemmatt princip secretari pm actual nail modi anyth els,New Delhi,0.2023,0.091
13,forthefirsttim activ diplomaci pm modi india emerg leader intern platform first indian prime minist visit israel strengthen tie ageold natur alli year,Gandhinagar,-0.8934,0
4,modiunstopp speech made noisi kharg amp compani nervous confid speak way come easili one sincer amp honest job paplu taplu remain absent perhap nirmala ji arunji piyush ji s trailer prefer avoid modi ji s punch,Pune,-0.8834,0
2,piti state affair swachh bharat mission modi s kashi could understood fact even minist neelkanth tiwari also admit work mark flopswachhbharat,,0.5859,0.352
1,jim jordan remain best argument drug test member congress whitakerhear,,0,0
9,rahul rahul gandhi ji use claim defenc minist manoharparrikar ji complet ignor rafaled note rafal file anoth lie expos rahulliecaught,New Delhi,0,0
10,modi govt make kitchen smoke free pmuy approx crore lpg connect provid poor india becom second largest lpg consum lpg coverag cleaner fuel ensur cleaner environ too transformingindia,Una,0,0
11,bjp mp sh ianuragthakur launch campaign abkibaarpaar,New Delhi,0,0
15,prime minist shri modi today expos congress parti s fals fake campaign sever issu deliv outstand speech floor lok sabha congratul prime minist complet demolish opposit s claim,,-0.4215,0.117
1,rafalescam saugataroymp loksabha today modishah duo destroy defenc backbon countri,Kolkata,-0.7184,0.034
2,shock un said isi biggest terrorist threat world time thought rss indian media lie us,Uttar Pradesh,-0.1531,0.091
3,nramind amp thehindu hitjob rafal use fakenew creat fake scam without fact discredit pm modi destabil nation amp stop defens procur time boycott mediapimpistaan lutyen boycottthehindu banthehindu,Gujarat,0.3182,0.213
4,bjp up game right time anoth brilliant retort,,-0.128,0.172
5,govt lie sc that s entir rafal judgment question now rahul rahul gandhi,Delhi,-0.1027,0.115
8,defenc minist nirmala sitharaman came heavili opposit particular aim congress parti rafal deal alleg rafalecongselfgo,,0,0
7,ippatel modi essenti,,0,0
9,need latina congress pressin,,-0.296,0
10,rafaled read paragraph parrikar admit pmo interf refrain blame modi derail negoti,,-0.7351,0
1,complaint shashitharoor delhi court order fir republ tv amp editorinchief arnab goswami congress mp alleg illeg access document relat sunandapushkar death case tharoor face abet suicid charg matter,Uttar Pradesh,-0.765,0
3,kerala rss inspir sewa bharathi build hundr hous kerala poor hindus thalachaikkanoridam place rest one head like hous kannur pathanamthitta palakkad various stage construct,Tamil Nadu,-0.4019,0.097
4,congress doesn t want indian air forc strengthen put serious charg pm modi lok sabha modiparliamentspeech,,0.1321,0.118
7,rahul gandhi dear rahul gandhi hell amp congress would like tell us corrupt congress give arm forc one rank one pension year power,,0.5267,0.185
