Id,Tweet,State,Sentiment_Analysis_1,Polarity,Parties,Predicted_Label
#BJP,it does not matter if rahul gandhi narendra modi arnab goswami or even krk becomes pm we will still end up governing ourselves,Delhi,-0.0191,0,BJP,authentic
,ranga billa and bimbaywala respectively they reflected the intelligence of congressthe level of debate was so low,Delhi,0.4135,0,Congress,manipulated
#NaMOinDelhi,bjp will provide full statehood to delhi with the support of modiji at centre dr harsvardhan namoindelhi watch,Delhi,0.4019,0.35,BJP,authentic
#TIMEPOY,i think narendra modi should be s person of the year what do you think vote now timepoy,Delhi,0,0,BJP,authentic
#BJP,it took modi to resucitate bjp annakejriwal to birth aap cong has no one except dying dynasty,Delhi,-0.296,0,BJP,authentic
#BJPNCMeet,advaniji had started a struggle against black moneyi promise when we come to power we would fulfil his dream modi bjpncmeet,Delhi,0.25,-0.1667,BJP,manipulated
#BJP,congress and bjp are like shahrukh and salman of politics if you do not like one people assume that you like the other,Delhi,0.7579,-0.125,BJP,manipulated
#Rajni,from ram to rajni there is no form of the divine or popular that the bjp will not try to appropriate to grab power dejhaadu voteaap,Maharashtra,0.6369,0.55,Other,authentic
,you missed a he said crore jobs,Maharashtra,-0.296,0,Other,authentic
#TCExitPoll,tcexitpoll all india tally seats bjp seatscong seatsnda seatsupa seatsothers seats,Delhi,0,0,BJP,authentic
#BJP,i knew nothing about irani till she was made hrd minister its bjp pple who sent me info abt false affidavits on education assets amp more,Delhi,0.1779,0.05,BJP,manipulated
#BJP,nagarjuna meeting before the election and some big sa congress leaders trying to jump to bjp is save illegal land holdings,Andhra Pradesh,-0.1027,-0.25,Other,manipulated
,gandhis skepticism about mechanical knowledge of sacred texts applies to orthodox or fundamentalist muslims christians and marxists too,Karnataka,-0.25,-0.2,Congress,manipulated
#LOLQueen,lolqueen madam s math genius qualifed to be spokie when is less than,Karnataka,0,-0.1667,Other,manipulated
#BJP,bjp should have kept away from todays news hour foolish of nalin kohli to join this lunatic rant let loose by arnab goswami,Delhi,-0.81,-0.0769,BJP,manipulated
#Congress,congress govtsm krishna made the country take notice of the state as an exemplar,Bihar,0,0,Congress,authentic
#BJP,bjp govt failed to provide facilities for poor people like community health insurance scheme to cover surgeries accidents and other,Bihar,-0.7351,-0.3417,BJP,manipulated
#BJP,modijis valentines celebrations prove a long suspected truth that the congbjpncp love triangle is actually more like a threesome,Maharashtra,0.8122,0.3167,BJP,authentic
#Congress,rahul rahul gandhi to take over congress in the next meeting this is the end of congress political career,Delhi,0,0,Congress,authentic
#BJP,did vajpayee rss cower before indira gandhi can bjp ignore swamys account of the emergency,Maharashtra,-0.6249,0,BJP,authentic
#BlackDayForDemocracy,blackdayfordemocracy soviets spent million rubles to undermine indira gandhis political opponents,Maharashtra,-0.296,-0.05,Congress,manipulated
,dear liberals remember this forevermodi is not vajpayee if you throw anything at himhe will give back in kind with interest every time,West Bengal,0.8402,0.3,BJP,authentic
#BJP,just a reminder to all the folks who choose to forget that shiv sena is a part of fadnavis govt at state and modi govt at centre,Maharashtra,-0.2263,0,BJP,authentic
#BJP,a presidential candidate in the us was disqualified for just making a statement against muslims and we made modi our pm long way to go,Delhi,-0.4215,-0.05,BJP,manipulated
#BJP,who takes smriti irani seriously even bjp people who know her past amp present inside out speak of her with utter disdain,Delhi,-0.5859,-0.1458,BJP,manipulated
