Id,Tweet,State,Sentiment_Analysis_1,Sentiment_Analysis_2
1,Guwahati has gained a lot of prominence in recent years due to PM Shri @narendramodi ji's #ActEast Policy.,Guwahati,Y,Y
2,Words don't exist in Vaccum! Modi's post Pulwama words,New Delhi,Y,N
3,On this Women's Day let's look back and see how the Modi Government has celebrated 'Naari Shakti' in the last 5 years,Maharashtra,N,Y
4,Odisha is blessed with so many rivers but still we struggle for clean water in our households due to BJD misgovernance.  It's our guarantee that when Congress forms govt. in Odisha every household will get clean water.,Odisha,Y,Y
5,This Vote is for @mepratap and @narendramodi  all the way from Bangalore to Coorg. #EveryVoteForModi,Banglore,N,N
6,"PM @narendramodi in the presence of @CMOTamilNadu, Deputy CM O. Panneerselvam, Sri S. Ramadoss of PMK &amp; @BJP4TamilNadu Leaders addressed a huge gathering of AIADMK  PMK &amp; BJP Karyakartas as well as Supporters at Kancheepuram.",Chikkamagaluru,N,N
7,And no case is bigger than former CJI Rangnath Misra who was rewarded by Congress after he exonerated Pappu's papa in '84 pogrom,Mumbai,Y,N
8,Tune in to watch BJP National President Shri @AmitShah's interview repeat telecast.,Gujrat,N,Y
9,I strongly condemn Modiji for making unethical behaviour ....unfounded Statement about our former prime minister Sri Rajivgandhi who was taken India to 21 st century with his modern vision..unlike Modiji ‘s idiotical decisions like demolition and flawful GST.Modi not fit for PM,Pondicherry,Y,Y
10,@BJP4India Upp 41520 ki election se pehle medical karwa do sir Nahi to student ka power aap bhi dekhenge.I am big supporter of BJP lekin ab to BJP ko vote nahi jayega.#JoiningNahiToVoteNahi,Saharanpur,Y,N
11,#GoBackModi is fake one..this is d real letter..bt see how pappu marketing wrongly typed letter with d help of journalism..welcome modi..Bharath matha ki jai..,Chennai,N,Y
12,Do opposition really believe that questioning/criticizing NaMo and Defence forces on their action against Terrorist and Terroristan will bring any political gain to them??,Gorkhaland,N,Y
13,#CongressMuktBharat Our beloved PM Sri. @narendramodi ji is pride of nation and you corrupt dynast and fake Gandhi #Rahul_Ghandy don't deserve to be on stage with with a saint PM.#ModiUnstoppable#ModiHaiToMumkinHai,Noida,Y,N
14,Electoral bonds are absolutely illegal they give undue advantage to Modi which is against the principle of free and fair elections level playing field to all political parties.,Hyderabad,Y,N
15,Some glimpses from @narendramodi ji rally at Chandigarh #ModiInChandigarh #HarGharModi,Chandigarh,Y,Y
1,testing the data ,Guwahati,Y,Y
13,testing part 2 ,Noida,Y,N
